Name,Team,ERA,GB/FB,Zone%,O-Swing%,K%,HardHit%,WHIP,Relief-IP
Kyle Leahy,STL,2.95,1.25,45.80%,32.50%,21.40%,42.90%,1.18,55
Ben Casparius,LAD,4.8,0.86,43.00%,33.30%,22.20%,30.50%,1.23,54.1
Mike Vasil,CHW,1.7,1.44,41.10%,28.50%,16.40%,38.90%,1.11,53
Jake Bird,COL,3.96,1.68,47.40%,32.00%,26.90%,40.10%,1.39,52.1
Eduard Bazardo,SEA,2.81,0.83,46.60%,26.30%,22.70%,37.50%,1.11,51.1
Jimmy Herget,COL,3,0.92,46.70%,28.50%,19.40%,38.20%,1.37,51
Jose A. Ferrer,WSN,4.97,2.81,49.30%,31.60%,19.30%,38.70%,1.24,50.2
Tyler Alexander,2 Tms,4.35,1.09,44.50%,36.30%,19.80%,37.30%,1.23,49.2
Jason Adam,SDP,2.01,1.14,40.90%,34.80%,25.10%,38.80%,1.32,49.1
Grant Anderson,MIL,2.74,1.2,45.30%,31.30%,25.10%,36.60%,1.09,49.1
Tyler Phillips,MIA,3.47,1.54,42.40%,37.50%,14.80%,37.60%,1.28,49.1
Abner Uribe,MIL,2.19,1.9,46.10%,28.60%,30.00%,36.20%,1.14,49.1
Spencer Bivens,SFG,4.59,1.42,44.10%,32.90%,19.20%,33.60%,1.29,49
Yariel Rodríguez,TOR,2.02,1.02,40.10%,32.90%,25.70%,37.30%,0.84,49
Hoby Milner,TEX,2.25,1.73,47.40%,23.60%,21.60%,34.80%,1.1,48
Ronny Henriquez,MIA,3,0.71,38.30%,38.60%,32.40%,43.50%,1.21,48
Garrett Whitlock,BOS,3.23,1.33,43.40%,34.80%,31.10%,35.70%,1.14,47.1
Brenan Hanifee,DET,3.23,2.14,46.60%,25.90%,15.50%,43.80%,1.33,47.1
Carlos Vargas,SEA,3.83,1.73,46.80%,30.10%,16.50%,32.00%,1.45,47
Tyler Rogers,SFG,1.54,2.93,52.00%,34.30%,19.80%,31.30%,0.79,46.2
Jhoan Duran,MIN,1.94,3.9,45.50%,32.60%,26.40%,40.70%,1.14,46.1
Brendon Little,TOR,1.94,2.08,29.80%,34.60%,35.40%,45.80%,1.25,46.1
Louis Varland,MIN,2.14,2.48,50.00%,34.30%,25.10%,39.50%,1.06,46.1
Tim Hill,NYY,2.54,2.63,44.00%,38.90%,13.90%,46.90%,1,46
Adrian Morejon,SDP,1.76,1.91,47.00%,37.20%,25.40%,24.40%,0.78,46
Josh Hader,HOU,2.36,0.35,41.40%,41.40%,36.90%,33.70%,0.85,45.2
Tanner Scott,LAD,4.14,1.09,48.50%,39.20%,27.20%,43.80%,1.16,45.2
Lake Bachar,MIA,3.15,0.82,41.30%,31.50%,25.80%,40.40%,1.14,45.2
Tony Santillan,CIN,2.96,0.71,46.20%,30.10%,22.20%,43.40%,1.12,45.2
Steven Okert,HOU,2.58,0.29,48.40%,32.40%,31.40%,30.80%,0.75,45.1
Wandy Peralta,SDP,3.38,2.55,39.80%,33.80%,20.60%,37.80%,1.41,45.1
Bryan Abreu,HOU,1.79,0.91,37.20%,34.20%,38.20%,47.80%,1.06,45.1
Jacob Webb,TEX,3.77,0.64,46.30%,32.70%,18.00%,35.00%,1.15,45.1
Reid Detmers,LAA,4.17,1.62,47.30%,32.80%,28.50%,41.90%,1.39,45.1
Huascar Brazobán,NYM,4.2,1.38,41.80%,33.80%,23.80%,37.90%,1.24,45
Emmanuel Clase,CLE,2.8,1.37,45.30%,36.40%,23.40%,37.60%,1.22,45
Jeremiah Estrada,SDP,2.8,0.84,43.60%,39.40%,33.30%,39.00%,1.11,45
Scott Barlow,CIN,3.63,1.25,41.70%,31.00%,25.50%,29.50%,1.23,44.2
Sean Newcomb,2 Tms,3.02,1.36,47.30%,28.00%,20.20%,39.40%,1.32,44.2
Tyler Kinley,COL,6.04,0.89,40.30%,34.30%,22.70%,30.20%,1.5,44.2
Edwin Uceta,TBR,5.04,0.67,43.40%,37.20%,30.80%,43.00%,1.34,44.2
Jackson Rutledge,WSN,6.25,0.86,41.70%,31.30%,19.10%,43.40%,1.54,44.2
Will Vest,DET,2.23,2.13,42.10%,33.00%,28.40%,41.40%,0.99,44.1
Anthony Banda,LAD,3.92,0.96,42.20%,31.90%,19.10%,39.50%,1.31,43.2
Dylan Lee,ATL,2.68,0.81,44.70%,36.10%,27.20%,33.00%,0.96,43.2
